date|account|category|amount|currency|converted amount|currency|description||||
29/06/2018|Cash|"Salary,""3"|"090.85"",MYR,""3"|"090.85"",MYR"|Salary |||||Dinner subway|1
29/06/2018|Cash|Tech|-152|MYR|-152|MYR|Wifi|||Dinner teppanyaki|1
30/06/2018|Cash|Trip|-35|MYR|-35|MYR|Sasaran |||Dinner thai|16
30/06/2018|Cash|Eating out|-16.65|MYR|-16.65|MYR|Breakfast (burger King) |||Dinner tomyam|2
30/06/2018|Cash|Deposits|12|MYR|12|MYR|Breakfast (burger King) |||Donation (funeral) |2
30/06/2018|Cash|Deposits|48|MYR|48|MYR|Toll & petrol |||Donation (toddler heart surgery) |1
30/06/2018|Cash|Eating out|-23|MYR|-23|MYR|Lunch (dubuyo) |||Dr K mental health module|1
2/7/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Drinks|3
2/7/2018|Cash|Car|-100|MYR|-100|MYR|Touch & Go|||Drinks CJ |1
2/7/2018|Cash|Car|-63|MYR|-63|MYR|Petrol |||Drinks potluck |1
3/7/2018|Cash|Eating out|-14.2|MYR|-14.2|MYR|Lunch (kd) |||Earphones |9
3/7/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Earrings |1
3/7/2018|Cash|Tech|-98.8|MYR|-98.8|MYR|Keyboard |||Ed Sheeran concert |1
4/7/2018|Cash|Eating out|-19.7|MYR|-19.7|MYR|Dinner (Daves deli) |||Elaine|1
4/7/2018|Cash|Movie|-13|MYR|-13|MYR|Ant man|||Elaine |2
4/7/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (zap fan)|||Electric Toothbrush |1
5/7/2018|Cash|Eating out|-7.5|MYR|-7.5|MYR|Dinner thai|||Enin christmas gift (tealive) |1
5/7/2018|Cash|Eating out|-13.7|MYR|-13.7|MYR|Lunch (kfc) |||Enin graduation flowers|1
7/7/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Ethernet cable|1
7/7/2018|Cash|Eating out|-25|MYR|-25|MYR|Dinner (chizu) |||Face mask|1
9/7/2018|Cash|Eating out|-12.9|MYR|-12.9|MYR|Lunch (ninjajoe) |||Family mart |1
9/7/2018|Cash|Eating out|-6.45|MYR|-6.45|MYR|Snack (croissant) |||Fever|1
9/7/2018|Cash|Allowance|-200|MYR|-200|MYR|Mom |||Fish oil|1
9/7/2018|Cash|Salary|52.5|MYR|52.5|MYR|Tuition (Chunyong) |||Fix shoes|4
9/7/2018|Cash|Salary|240|MYR|240|MYR|Tuition (shuhui) |||Forest |1
9/7/2018|Cash|Salary|65|MYR|65|MYR|Tuition (hongkai) |||Frame|1
9/7/2018|Cash|Books|-15|MYR|-15|MYR|Tuition replacement Bs (July 6th)|||Fu cha |1
10/7/2018|Cash|Eating out|-8.6|MYR|-8.6|MYR|Lunch (mamak) |||G2000 pants |1
10/7/2018|Cash|Car|-65.5|MYR|-65.5|MYR|Petrol |||Gabriel |1
10/7/2018|Cash|Tech|-500|MYR|-500|MYR|Idealtech deposit |||Gamble|2
11/7/2018|Cash|Eating out|-8.9|MYR|-8.9|MYR|Lunch (cili panmee) |||Genting |1
11/7/2018|Cash|Eating out|-10|MYR|-10|MYR|Dinner (chee cheong fun) |||Glasses |2
12/7/2018|Cash|Eating out|-11|MYR|-11|MYR|Lunch (mcd) |||Gloves |1
12/7/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner (char kuey tiow ) |||Go noodles lunch|1
13/07/2018|Cash|Eating out|-15|MYR|-15|MYR|Lunch (Kim gary) |||Godzilla|1
14/07/2018|Cash|Eating out|-6.2|MYR|-6.2|MYR|Lunch (chicken rice) |||Grab|7
15/07/2018|Cash|Communications|-30|MYR|-30|MYR|Reload |||Grab (klia) |2
15/07/2018|Cash|Eating out|-2.8|MYR|-2.8|MYR|Supper (family mart) |||Graduation photo|1
16/07/2018|Cash|Eating out|-14.6|MYR|-14.6|MYR|Lunch (korean) |||Graduation ticket|1
16/07/2018|Cash|"Tech,""-4"|"482"",MYR,""-4"|"482"",MYR"|Cpu|||||Hanoi |2
16/07/2018|Cash|Tech|-589.4|MYR|-589.4|MYR|Monitor |||Hanoi King |1
16/07/2018|Cash|Eating out|-8.5|MYR|-8.5|MYR|Dinner mamak|||Hanoi train|1
17/07/2018|Cash|Car|-63.4|MYR|-63.4|MYR|Petrol |||Hard drive |1
17/07/2018|Cash|Eating out|-6.1|MYR|-6.1|MYR|Dinner mamak|||Harry Potter |1
17/07/2018|Cash|Eating out|-16.4|MYR|-16.4|MYR|Lunch (wong kok) |||Herbal tea |1
18/07/2018|Cash|Eating out|-7.55|MYR|-7.55|MYR|Lunch (panmee ) |||High tea buffet|1
18/07/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner thai|||Hong kai April |1
19/07/2018|Cash|Eating out|-26.7|MYR|-26.7|MYR|Lunch (sushi zanmai) |||Hook|2
19/07/2018|Cash|Eating out|-64|MYR|-64|MYR|Dinner korean bbq with seraya |||Hose clamp |1
19/07/2018|Cash|Eating out|-5.6|MYR|-5.6|MYR|Supper mcd|||House |1
20/07/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||House tax |2
20/07/2018|Cash|Eating out|-8.5|MYR|-8.5|MYR|Lunch (nasi lemak) |||Ice cream|2
